Categoria;Categoriacomun
AdministraciÃ³n;Administracion
Administración;Administracion
Arte/DiseÃ±o/Medios;Arte/Diseno/Medios
Arte/Diseño/Medios;Arte/Diseno/Medios
Asistente administrativo;Asistente administrativo
EconomÃ­a / Contabilidad;Economia / Contabilidad
Economía / Contabilidad;Economia / Contabilidad
EducaciÃ³n y PsicopedagogÃ­a;Educacion y Psicopedagogia
Educación y Psicopedagogía;Educacion y Psicopedagogia
Estática y Cuidado Personal;Estetica y Cuidado Personal
EstÃ©tica y Cuidado Personal;Estetica y Cuidado Personal
HotelerÃ­a Turismo y GastronomÃ­a;Hoteleria Turismo y Gastronomia
Hotelería Turismo y Gastronomía;Hoteleria Turismo y Gastronomia
Informática / Telecomunicaciones;Informatica / Telecomunicaciones
InformÃ¡tica / Telecomunicaciones;Informatica / Telecomunicaciones
LogÃ­stica / DistribuciÃ³n;Logistica / Distribucion
Logística / Distribución;Logistica / Distribucion
Marketing y Publicidad;Marketing y Publicidad
Medicina / Salud;Medicina / Salud
Operarios;Operarios y no Profesionales
Otros;Otros
Profesionales y TÃ©cnicos;Profesionales y Tecnicos
Profesionales y Técnicos;Profesionales y Tecnicos
Prácticas profesionales;Practicas profesionales
PrÃ¡cticas profesionales;Practicas profesionales
RecepciÃ³n / Secretaria;Recepción / Secretaria
Recepción / Secretaria;Recepción / Secretaria
Recursos Humanos;Recursos Humanos
Seguridad;Seguridad
Servicios DomÃ©sticos;Servicios Domesticos
Servicios Domésticos;Servicios Domesticos
Trabajos Universitarios;Trabajos Universitarios
Ventas / Comercial;Ventas / Comercial
